date,gen_mwh,latent_mwh,suppression_pct,censored
2024-05-26,312727.5,328831.72,5.149601090406186,1
2024-05-27,149378.0,191128.03,27.949250391623927,1
2024-05-28,183541.5,254866.67,38.860514856313145,1
2024-05-29,306329.0,295947.0,-3.389166549690037,1
2024-05-30,310403.0,318366.2,2.5654350956659577,1
2024-05-31,299744.0,291180.7,-2.8568753669798275,1
2024-06-01,323062.5,295988.53,-8.380412071967502,1
2024-06-02,330825.0,316816.66,-4.234366734678452,1
2024-06-03,324015.0,300619.25,-7.220576207891605,1
2024-06-04,322054.0,318281.78,-1.1713000770057214,1
2024-06-05,329087.0,316565.38,-3.804958871058417,1
2024-06-06,321291.5,313927.88,-2.2918829162925203,1
2024-06-07,311110.5,306581.75,-1.455672502213845,1
2024-06-08,317352.5,321499.7,1.3068078871286692,1
2024-06-09,336904.0,329868.53,-2.088271065347991,1
2024-06-10,323553.5,322109.78,-0.4462071187608885,1
2024-06-11,340486.0,328877.5,-3.409391281873553,1
2024-06-12,345611.0,336659.28,-2.5901139575997267,1
2024-06-13,326849.0,328280.88,0.4380845589247562,1
2024-06-14,301981.5,271714.3,-10.022861499793867,1
2024-06-15,298328.5,271834.6,-8.8807828450852,1
2024-06-16,274497.5,266118.84,-3.0523615879926025,0
2024-06-17,265657.5,251017.05,-5.511025709795502,0
2024-06-18,254865.5,253663.45,-0.47163969819374874,1
2024-06-19,231691.5,243505.53,5.0990352473008205,1
2024-06-20,229501.5,247685.77,7.923375500813723,0
2024-06-21,253062.0,258140.89,2.0069748223755512,1
2024-06-22,280845.5,303593.1,8.099682476664217,1
2024-06-23,311955.5,334963.22,7.375320758890291,1
2024-06-24,316974.0,337810.34,6.573518253863098,1
2024-06-25,311394.0,340139.47,9.231221137851087,1
2024-06-26,311287.0,359410.38,15.459487546861904,1
2024-06-27,315221.0,345340.78,9.55513155849388,1
2024-06-28,295625.0,308133.53,4.231215644820296,1
2024-06-29,294397.5,301288.84,2.340829575658754,1
2024-06-30,298940.0,297842.06,-0.36727687830333533,1
2024-07-01,298350.0,297674.5,-0.22641193229429035,1
2024-07-02,295578.5,299353.28,1.2770824840101724,1
2024-07-03,299014.5,309341.0,3.4535114517857846,1
2024-07-04,302437.0,307317.7,1.6137865076032432,1
2024-07-05,281703.5,281481.75,-0.07871751682176908,1
2024-07-06,301893.0,303660.88,0.5855965524208973,1
2024-07-07,321041.5,320906.66,-0.04200196859284189,1
2024-07-08,326147.5,323693.56,-0.7524011375221296,1
2024-07-09,325972.5,325189.25,-0.24028100529952523,1
2024-07-10,311389.5,322896.22,3.6952815525250537,1
2024-07-11,309089.0,316050.16,2.2521526971196026,1
2024-07-12,287340.5,289081.75,0.6059883657194121,1
2024-07-13,310886.0,315430.75,1.4618702675578854,1
2024-07-14,328871.0,338669.66,2.9794832168236196,1
2024-07-15,329701.0,343848.78,4.291094431014764,1
2024-07-16,329367.0,335971.94,2.0053428242659432,1
2024-07-17,325208.5,340884.12,4.820176901895246,1
2024-07-18,331739.5,367429.66,10.7584885881844,1
2024-07-19,312667.5,340823.66,9.005143243221635,1
2024-07-20,302854.0,320997.84,5.990953974522384,1
2024-07-21,289384.0,301649.97,4.238647869267131,1
2024-07-22,278188.0,288680.06,3.771572641522991,1
2024-07-23,282570.0,292213.6,3.412815850939599,1
2024-07-24,311097.5,312220.06,0.36083944744012,1
2024-07-25,324721.0,350808.53,8.033829425876359,1
2024-07-26,318156.0,334105.62,5.013146066709417,1
2024-07-27,326026.5,337791.97,3.608746144868591,1
2024-07-28,335156.5,362618.78,8.193868013897987,1
2024-07-29,331670.5,353423.06,6.558485756194776,1
2024-07-30,327310.0,346440.22,5.84467897406129,1
2024-07-31,324986.0,354071.16,8.949664370157473,1
2024-08-01,292022.5,301107.6,3.1110937513376458,1
2024-08-02,252417.66666666663,253076.3,0.26092872857552685,0
2024-08-03,270440.8333333333,271294.84,0.31578456778902364,1
2024-08-04,284970.0,290130.16,1.8107717479032948,1
2024-08-05,261868.5,279053.78,6.562561457372684,1
2024-08-06,272175.5,280912.7,3.2101300447689107,1
2024-08-07,295115.0,294489.2,-0.2120571641563429,1
2024-08-08,298855.0,296403.75,-0.8202138160646522,1
2024-08-09,281289.5,288530.9,2.574360667568465,1
2024-08-10,295577.0,304336.7,2.963589014030177,1
2024-08-11,306357.0,319340.2,4.237927483295634,1
2024-08-12,309058.0,317434.56,2.7103529111040636,1
2024-08-13,310812.0,322762.62,3.8449689844664903,1
2024-08-14,315536.0,325258.06,3.081126242330501,1
2024-08-15,321901.5,320313.75,-0.49324094482318115,1
2024-08-16,297335.0,301223.03,1.3076264987303965,1
2024-08-17,290904.5,308054.78,5.895502218081883,1
2024-08-18,299174.5,301148.66,0.6598678196169772,1
2024-08-19,288999.0,288388.66,-0.21119233976588658,1
2024-08-20,288815.5,287673.66,-0.395354040901541,1
2024-08-21,283284.0,288630.78,1.8874278992106808,1
2024-08-22,278675.0,283607.25,1.7698932448192428,1
2024-08-23,262469.5,268818.84,2.419078692952903,1
2024-08-24,285306.5,289032.12,1.3058324994348114,1
2024-08-25,285278.5,286205.53,0.32495657751985263,1
2024-08-26,272647.5,277191.53,1.6666322816090373,1
2024-08-27,286641.5,294706.94,2.813771732285808,1
2024-08-28,301932.5,309578.28,2.5322816357960853,1
2024-08-29,309708.0,325912.28,5.232115815542371,1
2024-08-30,300097.5,316407.25,5.434817017802551,1
2024-08-31,314145.5,324131.25,3.178702225561092,1
2024-09-01,315212.0,337622.9,7.10978841224319,1
2024-09-02,312662.0,348883.4,11.584844416654416,1
2024-09-03,304560.0,336738.6,10.565600784738649,1
2024-09-04,307678.0,337924.72,9.830640718543403,1
2024-09-05,304940.5,334352.7,9.645221772772071,1
2024-09-06,295894.0,318751.4,7.7248630421705045,1
2024-09-07,308771.0,339089.47,9.819079107170037,1
2024-09-08,316019.5,351265.16,11.153000447757178,1
2024-09-09,313625.5,347096.97,10.672432168302649,1
2024-09-10,311226.5,346654.7,11.383409671091638,1
2024-09-11,319433.0,343752.7,7.613392323272805,1
2024-09-12,321223.0,362639.53,12.893389094180673,1
2024-09-13,294327.5,327549.72,11.287500743219713,1
2024-09-14,240690.5,257558.58,7.008202702225463,1
2024-09-15,243708.0,243923.2,0.08830367694125929,1
2024-09-16,264629.5,269797.1,1.95276556468571,1
2024-09-17,305755.5,318157.06,4.0560390573513905,1
2024-09-18,326202.5,338798.88,3.8615200680558903,1
2024-09-19,334822.0,352264.84,5.209587108971325,1
2024-09-20,328752.5,344675.47,4.843451760823103,1
2024-09-21,296228.5,322593.38,8.900181785344753,1
2024-09-22,317292.0,363379.0,14.525106211313243,1
2024-09-23,328622.5,359849.06,9.502259431414473,1
2024-09-24,317080.0,333671.62,5.232630566418561,1
