date,T2M,T2M_MAX,T2M_MIN,RH2M,WS2M,ALLSKY_SFC_SW_DWN,PRECTOTCORR,dewpoint,apparent_temp,CDD,HDD,CDD_at,THI
2017-09-13,27.723929498400434,30.251827729824353,25.53351240417698,89.5233476187602,1.6745397476911936,4.559644486026439,14.805582785054629,25.841944679549165,33.54312009767048,5.723929498400434,0.0,11.543120097670482,80.5071713200519
2017-09-14,28.004796281764957,30.68500694151023,25.619491760729165,88.13211202993904,1.4044461882054688,4.2917275547775695,21.583316231061758,25.85414123600481,34.02128059066074,6.004796281764957,0.0,12.021280590660737,80.79403132590204
2017-09-15,28.90373272167562,32.077114746182176,25.79068932214644,83.31213557071287,0.9474956238305067,5.438677575903906,3.511829540653105,25.786103505597776,35.19676266954337,6.90373272167562,0.0,13.196762669543368,81.60635564523673
2017-09-16,29.70336512343816,32.72556648759583,26.595376954186037,82.42418422164546,0.9257741292931734,6.041151119695781,11.969367417154588,26.385679836573246,36.40770422436059,7.703365123438161,0.0,14.407704224360593,82.77636596020423
2017-09-17,28.8086883563711,31.65065974527676,26.731894730488317,89.62141546447758,1.6939035431882659,2.6253373513611398,14.997128025593048,26.930288440968617,35.344161073828445,6.8086883563711,0.0,13.344161073828445,82.36022113994203
2017-09-18,27.563966922194723,29.439133820245065,25.923227500452708,90.51260698979898,1.9197277720770207,5.075023420051911,20.397686968069053,25.86969098368947,33.22943441877847,5.563966922194723,0.0,11.229434418778467,80.36622318230903
2017-09-19,27.629623951228346,29.55971751071407,26.214773948210297,92.03648155972719,2.3676278143296914,3.4728332105993847,45.003286654192074,26.216964079223644,33.210027568692865,5.629623951228346,0.0,11.210027568692865,80.6797795692762
2017-09-20,27.82839802016056,30.3640954910364,26.10099233415827,92.23554958652743,2.531802981831351,3.0920400736403697,32.18720226957204,26.45031491587039,33.44987984891731,5.828398020160559,0.0,11.449879848917313,81.04847513068991
2017-09-21,28.098634635118014,30.728721554898296,25.944956841914657,90.6249387336271,1.8533476187601858,4.197224723848616,10.985110158749322,26.418713115060864,34.17411262940987,6.098634635118014,0.0,12.17411262940987,81.29328695351353
2017-09-22,28.050799782700555,30.45345264682803,26.097461218084145,89.7414637532444,1.4522134363493693,5.159329727772078,7.759799601617675,26.2054842886973,34.26481746921521,6.050799782700555,0.0,12.26481746921521,81.09106736518063
2017-09-23,28.63523148427597,31.837779320335613,26.068099837025414,87.99980503410396,1.3329770024747993,5.147035202511016,2.910929558761393,26.449115369026956,35.09594040477564,6.63523148427597,0.0,13.09594040477564,81.83516113973701
2017-09-24,29.081383473169552,32.479346290819095,26.248958773465326,85.3954324862679,1.1888851330959136,5.072941516267278,3.306813544999095,26.377802387354894,35.59561629360228,7.081383473169552,0.0,13.595616293602284,82.20233769041624
2017-09-25,29.07899861169795,32.387417758194,25.97012313635541,85.05201062352872,1.070088730609042,3.897181608015936,6.663972354680993,26.307162529642067,35.629198011866,7.078998611697951,0.0,13.629198011866002,82.14798234800733
2017-09-26,29.109991549465807,32.03011046055411,26.498373272167566,85.60823021669584,0.9937731635178366,3.6267434900706226,10.481996136898655,26.448056787092682,35.80793470886495,7.109991549465807,0.0,13.807934708864948,82.28095667009583
2017-09-27,28.495000301804797,31.313300537212534,26.598099837025416,85.60158206072313,0.9601086497253577,3.431191114866905,13.847962817649549,25.843709009738806,34.81622914992333,6.495000301804797,0.0,12.81622914992333,81.26154349125244
2017-09-28,27.96525261061146,31.010835999275674,25.91773223878796,88.00703265527856,1.3776537695418605,4.071790046477938,21.546812941389515,25.79124565002772,33.95955394645797,5.965252610611461,0.0,11.959553946457973,80.71057838328102
2017-09-29,27.119336633065735,29.17475825436108,25.738079314299515,92.35416068087162,2.355100500995956,1.9941117100259553,53.81408160801595,25.770127445777604,32.41486201439662,5.1193366330657355,0.0,10.414862014396618,79.84230589809508
2017-09-30,27.260781674412993,29.351681656304706,25.74648095611758,92.53996257620572,1.9952260517897027,3.315837315144565,48.5437170278264,25.944124815368053,32.921698008010765,5.260781674412993,0.0,10.921698008010765,80.10998788803971
2017-10-01,27.36418965413171,29.56177159413292,25.72817528822358,89.7975499486932,1.2741455906319794,3.5239150117703866,18.25049073459287,25.538701982465934,33.267464983302915,5.36418965413171,0.0,11.267464983302915,79.93287640341761
2017-10-02,27.515183799118738,30.350610852900346,25.400552906380153,89.15878493390474,1.3644582603971753,4.576139071648458,16.31693547413533,25.567302699365612,33.37373023452931,5.515183799118738,0.0,11.373730234529312,80.10548555643757
2017-10-03,27.943337961006822,30.76334399710268,25.56487475101105,84.76732057705077,0.9597989980080885,4.575405323836542,6.244531900766585,25.138129995166526,33.81322989942266,5.943337961006822,0.0,11.813229899422659,80.23499507504553
2017-10-04,28.369229190559548,31.286438099837024,25.365743948813908,82.62091507213135,0.7745608740266795,5.6382908311704,2.0483026498460797,25.123754456938723,34.36018718030572,6.3692291905595475,0.0,12.360187180305722,80.63688833821122
2017-10-05,28.63907949538239,32.013558278505464,25.742926902879223,85.02829057765437,1.165198889358363,4.924934339349309,2.048798816925213,25.871438809465527,34.834957121960116,6.63907949538239,0.0,12.834957121960116,81.41850948522286
2017-10-06,28.22178245910545,30.94078650328968,26.040208245306935,87.2074304339953,1.1156781553691073,4.729488241685279,3.869153135751796,25.889400947996972,34.46361244933346,6.221782459105452,0.0,12.46361244933346,81.03104729004691
2017-10-07,27.148899016116374,29.11530512464538,25.634749200217303,91.5942729522545,1.6261930343453854,3.8563048107683957,12.115542343212413,25.659990385940137,32.88347783129374,5.148899016116374,0.0,10.883477831293739,79.79638057612202
2017-10-08,26.619445886400676,28.86133337357398,25.139258163819644,91.3031749864188,2.0332329329389753,3.66650272227923,23.39349671032776,25.082886603321988,31.702022936004738,4.619445886400676,0.0,9.702022936004738,78.8522987691517
2017-10-09,26.936065672722883,29.263236554596492,24.935006337900653,90.55735317196839,2.4125369710871007,2.708147141908614,22.167219170640436,25.25792634945413,31.863456733934996,4.936065672722883,0.0,9.863456733934996,79.30118180329586
2017-10-10,27.630698979899808,30.83743345204322,24.934261483672366,85.72779923945193,1.6324029697591602,4.762914975553812,7.766293233536551,25.020899536092003,32.956122447466214,5.630698979899808,0.0,10.956122447466214,79.84694624338456
2017-10-11,28.20737852357096,31.869087342307,25.05336512343816,85.01268726987385,1.139598599625762,5.5190806422406,0.6617848735437919,25.44538915924744,34.14603771263536,6.207378523570959,0.0,12.146037712635362,80.70392634326788
2017-10-12,28.02910484698497,31.1028291181264,25.42894307961611,88.23623528701636,1.626857004889238,4.345934291060542,1.4041286895635903,25.89801190735128,33.91853203046683,6.029104846984971,0.0,11.918532030466828,80.84909289788779
2017-10-13,27.438359992756688,30.362518862799543,25.05481137200459,88.92910243254663,2.148523570954307,4.753089285929861,4.326738697410515,25.448141970398495,32.6717592380426,5.438359992756688,0.0,10.671759238042597,79.94558450768812
2017-10-14,27.736450172028736,30.923695901490916,25.203615621416073,87.9532281040623,1.6457065250196177,4.584130880666385,2.961761332769964,25.55579100332238,33.39096083122788,5.736450172028736,0.0,11.39096083122788,80.31899857841204
2017-10-15,28.31245125852599,31.921397959799606,25.20204925454216,81.3953781614052,1.0118349731393737,4.793860185911753,10.605129474256051,24.817642983763207,33.94682842789048,6.312451258525989,0.0,11.94682842789048,80.37405332021919
2017-10-16,28.06550310858937,31.87542162129535,24.407849339047505,77.99591235588821,1.1749067423190682,5.000874304339954,0.8497054385223637,23.865229655685674,33.01213232414431,6.065503108589368,0.0,11.01213232414431,79.51093631443803
2017-10-17,27.511361743224484,31.40412204985815,23.43396209331804,81.98020160560151,1.3157517957385165,5.025292279833403,1.2666928230820307,24.156355340050606,32.531118706442655,5.511361743224484,0.0,10.531118706442655,79.15781018491472
2017-10-18,27.29855133699524,30.033880002414442,25.002296130862558,89.24298967827607,1.4783485241745637,4.283097929619123,8.063492485060664,25.369660563981707,32.950988530007415,5.298551336995239,0.0,10.950988530007415,79.749893907918
2017-10-19,26.848804249411486,29.004663487656185,25.364958652743407,91.00149936620996,1.9685078771050886,3.490092895515181,19.2547944709362,25.253981597206156,32.08443903834224,4.8488042494114865,0.0,10.08443903834224,79.2076419196581
2017-10-20,26.10869077080944,27.596192430735808,25.024951409428386,94.29167743103761,3.4676893825073942,0.9427201545240539,86.78526166475524,25.117803967828635,30.20851353224309,4.108690770809439,0.0,8.208513532243089,78.32727354965687
